"createdOn","expressionString","id","modifiedOn","name","systemUserId","tableName","aqlExpressionString"
"2012-06-20T10:24:30","FIND_ALL prop:isStudent cond:EQUALS val:true type:java.lang.Boolean  -- 9:58 ","100","2012-06-20T10:24:30","Students","NULL","Contact","NULL"
"2012-06-20T10:24:30","FIND_ALL prop:isTutor cond:EQUALS val:true type:java.lang.Boolean  -- 9:56  ","101","2012-06-20T10:24:30","Tutors","NULL","Contact","NULL"
"2012-06-20T10:24:30","FIND_ALL prop:isCompany cond:EQUALS val:true type:java.lang.Boolean  -- 9:58  ","102","2012-06-20T10:24:30","Companies","NULL","Contact","NULL"
